id,stance_llm
504,positive
505,positive
506,positive
507,neutral
508,positive
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,positive
515,positive
516,neutral
517,neutral
518,neutral
519,neutral
520,negative
521,negative
522,negative
523,negative
524,neutral
525,positive
526,positive
527,neutral
528,negative
529,neutral
530,neutral
531,positive
532,neutral
533,positive
534,neutral
535,neutral
536,neutral
537,neutral
538,neutral
539,neutral
540,negative
541,neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,positive
547,neutral
548,neutral
549,negative
550,neutral
551,neutral
552,neutral
553,neutral
554,positive
555,neutral
556,neutral
557,neutral
558,neutral
559,neutral
560,neutral
561,neutral
562,positive
563,neutral
564,neutral
565,positive
566,positive
567,neutral
568,neutral
569,negative
570,negative
571,positive
572,neutral
573,positive
574,neutral
575,negative
576,neutral
577,positive
578,neutral
579,positive
580,neutral
581,positive
582,neutral
583,positive
584,neutral
585,negative
586,positive
587,positive
588,neutral
589,neutral
590,neutral
591,negative
592,neutral
593,neutral
594,neutral
595,negative
596,neutral
597,negative
598,neutral
599,positive
600,positive
601,neutral
602,positive
603,neutral
604,neutral
605,neutral
606,positive
607,neutral
608,positive
609,positive
610,negative
611,negative
612,neutral
613,neutral
614,neutral
615,neutral
616,neutral
617,neutral
618,neutral
619,neutral
620,positive
621,neutral
622,positive
623,neutral
624,positive
625,neutral
626,positive
627,neutral
628,neutral
629,negative
630,neutral
631,positive
632,neutral
633,neutral
634,negative
635,neutral
636,positive
637,positive
638,neutral
639,neutral
640,positive
641,positive
642,positive
643,positive
644,positive
645,neutral
646,positive
647,positive
648,neutral
649,positive
650,positive
651,positive
652,neutral
653,neutral
654,neutral
655,negative
656,neutral
657,positive
658,neutral
659,neutral
660,neutral
661,neutral
662,neutral
663,neutral
664,neutral
665,positive
666,positive
667,neutral
668,neutral
669,neutral
670,neutral
671,neutral
672,neutral
673,neutral
674,neutral
675,positive
676,neutral
677,neutral
678,neutral
679,positive
680,neutral
681,neutral
682,positive
683,neutral
684,negative
685,positive
686,neutral
687,neutral
688,negative
689,neutral
690,positive
691,positive
692,neutral
693,neutral
694,neutral
695,neutral
696,negative
697,positive
698,neutral
699,neutral
700,neutral
701,neutral
702,neutral
703,positive
704,neutral
705,positive
706,positive
707,negative
708,neutral
709,neutral
710,positive
711,positive
712,positive
713,negative
714,positive
715,negative
716,neutral
717,positive
718,neutral
719,neutral
720,neutral
721,neutral
722,neutral
723,neutral
724,neutral
725,neutral
726,positive
727,positive
728,neutral
729,negative
730,neutral
731,neutral
732,positive
733,positive
734,positive
735,positive
736,negative
737,neutral
738,negative
739,positive
740,positive
741,neutral
742,positive
743,neutral
744,neutral
745,neutral
746,positive
747,neutral
748,positive
749,neutral
750,positive
751,positive
752,neutral
753,neutral
754,neutral
755,negative
756,negative
757,neutral
758,negative
759,neutral
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,positive
767,positive
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,negative
774,neutral
775,positive
776,neutral
777,neutral
778,neutral
779,neutral
780,neutral
781,neutral
782,positive
783,neutral
784,neutral
785,neutral
786,negative
787,positive
788,neutral
789,positive
790,positive
791,positive
792,neutral
793,neutral
794,neutral
795,neutral
796,negative
797,neutral
798,neutral
799,positive
800,neutral
801,neutral
802,positive
803,negative
804,neutral
805,neutral
806,neutral
807,positive
808,neutral
809,neutral
810,positive
811,positive
812,positive
813,neutral
814,negative
815,neutral
816,neutral
817,negative
818,positive
819,neutral
820,neutral
821,neutral
822,positive
823,positive
824,neutral
825,negative
826,negative
827,neutral
828,positive
829,neutral
830,neutral
831,negative
832,neutral
833,neutral
834,negative
835,neutral
836,positive
837,neutral
838,positive
839,positive
840,positive
841,neutral
842,negative
843,negative
844,positive
845,neutral
846,positive
847,positive
848,positive
849,neutral
850,neutral
851,neutral
852,neutral
853,neutral
854,neutral
855,negative
856,neutral
857,positive
858,neutral
859,neutral
860,neutral
861,neutral
862,positive
863,neutral
864,neutral
865,positive
866,neutral
867,negative
868,neutral
869,positive
870,neutral
871,neutral
872,negative
873,neutral
874,neutral
875,neutral
876,negative
877,neutral
878,neutral
879,positive
880,neutral
881,negative
882,negative
883,negative
884,positive
885,negative
886,neutral
887,positive
888,neutral
889,positive
890,negative
891,neutral
892,neutral
893,neutral
894,neutral
895,neutral
896,neutral
897,neutral
898,neutral
899,neutral
900,neutral
901,negative
902,neutral
903,neutral
904,neutral
905,neutral
906,positive
907,neutral
908,neutral
909,neutral
910,neutral
911,neutral
912,positive
913,neutral
914,positive
915,neutral
916,neutral
917,neutral
918,neutral
919,neutral
920,positive
921,neutral
922,neutral
923,neutral
924,positive
925,negative
926,positive
927,negative
928,neutral
929,neutral
930,neutral
931,neutral
932,negative
933,neutral
934,positive
935,neutral
936,neutral
937,neutral
938,negative
939,negative
940,neutral
941,negative
942,positive
943,positive
944,negative
945,negative
946,neutral
947,positive
948,neutral
949,neutral
950,neutral
951,neutral
952,neutral
953,neutral
954,neutral
955,neutral
956,positive
957,negative
958,positive
959,neutral
960,neutral
961,positive
962,neutral
963,neutral
964,positive
965,neutral
966,positive
967,neutral
968,positive
969,neutral
970,neutral
971,neutral
972,neutral
973,negative
974,neutral
975,neutral
976,neutral
977,neutral
978,positive
979,neutral
980,positive
981,positive
982,positive
983,neutral
984,neutral
985,neutral
986,neutral
987,positive
988,neutral
989,neutral
990,neutral
991,neutral
992,negative
993,positive
994,positive
995,neutral
996,positive
997,neutral
998,positive
