id,stance_llm
500,neutral
501,positive
502,negative
503,positive
504,neutral
505,negative
506,positive
507,positive
508,positive
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,negative
515,positive
516,neutral
517,neutral
518,neutral
519,neutral
520,negative
521,negative
522,neutral
523,negative
524,neutral
525,negative
526,positive
527,neutral
528,negative
529,neutral
530,neutral
531,positive
532,neutral
533,positive
534,negative
535,neutral
536,neutral
537,neutral
538,neutral
539,neutral
540,negative
541,neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,negative
547,neutral
548,neutral
549,negative
550,negative
551,neutral
552,neutral
553,neutral
554,neutral
555,neutral
556,neutral
557,neutral
558,neutral
559,neutral
560,neutral
561,neutral
562,positive
563,neutral
564,neutral
565,negative
566,neutral
567,neutral
568,neutral
569,negative
570,positive
571,neutral
572,neutral
573,positive
574,neutral
575,negative
576,neutral
577,positive
578,neutral
579,neutral
580,neutral
581,neutral
582,neutral
583,neutral
584,neutral
585,negative
586,positive
587,neutral
588,negative
589,neutral
590,neutral
591,negative
592,neutral
593,neutral
594,negative
595,neutral
596,neutral
597,negative
598,neutral
599,positive
600,negative
601,neutral
602,neutral
603,neutral
604,neutral
605,negative
606,positive
607,neutral
608,positive
609,positive
610,negative
611,negative
612,neutral
613,neutral
614,neutral
615,negative
616,negative
617,neutral
618,neutral
619,neutral
620,negative
621,positive
622,neutral
623,neutral
624,neutral
625,neutral
626,positive
627,neutral
628,neutral
629,negative
630,neutral
631,positive
632,neutral
633,neutral
634,neutral
635,neutral
636,positive
637,positive
638,neutral
639,positive
640,positive
641,neutral
642,positive
643,positive
644,negative
645,neutral
646,positive
647,positive
648,neutral
649,neutral
650,neutral
651,positive
652,neutral
653,neutral
654,neutral
655,neutral
656,neutral
657,neutral
658,neutral
659,neutral
660,neutral
661,neutral
662,neutral
663,neutral
664,neutral
665,positive
666,positive
667,positive
668,neutral
669,neutral
670,neutral
671,neutral
672,neutral
673,negative
674,neutral
675,neutral
676,negative
677,neutral
678,neutral
679,positive
680,neutral
681,neutral
682,positive
683,neutral
684,negative
685,negative
686,neutral
687,neutral
688,negative
689,positive
690,neutral
691,positive
692,neutral
693,negative
694,neutral
695,neutral
696,negative
697,positive
698,neutral
699,neutral
700,neutral
701,neutral
702,neutral
703,negative
704,neutral
705,positive
706,positive
707,neutral
708,neutral
709,neutral
710,neutral
711,positive
712,positive
713,negative
714,negative
715,negative
716,neutral
717,positive
718,neutral
719,neutral
720,neutral
721,neutral
722,neutral
723,neutral
724,neutral
725,neutral
726,positive
727,neutral
728,neutral
729,negative
730,neutral
731,neutral
732,positive
733,neutral
734,positive
735,positive
736,negative
737,neutral
738,negative
739,neutral
740,positive
741,neutral
742,positive
743,neutral
744,positive
745,neutral
746,positive
747,neutral
748,neutral
749,neutral
750,positive
751,positive
752,neutral
753,neutral
754,neutral
755,negative
756,negative
757,neutral
758,negative
759,neutral
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,positive
767,positive
768,neutral
769,positive
770,neutral
771,neutral
772,negative
773,negative
774,neutral
775,positive
776,neutral
777,neutral
778,neutral
779,neutral
780,positive
781,neutral
782,negative
783,neutral
